date,market_regime,nav_before,nav_after,daily_pnl,daily_return,exposure,holdings_count,defensive_daily_pnl,cyclical_daily_pnl,realized_pnl_today,unrealized_pnl_today,fees_today,tax_today,slippage_today,trade_count,buy_count,sell_count
2024-06-28,neutral,196791.72755055007,196894.72755055007,103.0,0.0005233959845875243,0.3351130871854352,7,68.2077233184808,34.792276681519205,0.0,103.0,0.0,0.0,0.0,0,0,0
2024-07-01,neutral,196894.72755055007,197349.72755055007,455.0,0.0023108795530504232,0.3366460183380923,7,300.8929512169424,154.10704878305762,0.0,455.0,0.0,0.0,0.0,0,0,0
2024-07-02,neutral,197349.72755055007,197530.72755055007,181.0,0.0009171535337115569,0.3372538583039026,7,119.93851511603471,61.0614848839653,0.0,181.0,0.0,0.0,0.0,0,0,0
2024-07-03,neutral,197530.72755055007,197456.72755055007,-74.0,-0.00037462525915651614,0.3370054838114561,7,-49.11018273623468,-24.889817263765327,0.0,-74.0,0.0,0.0,0.0,0,0,0
2024-07-04,neutral,197456.72755055007,196833.72755055007,-623.0,-0.0031551216700910246,0.33490703458364585,7,-413.74246446504145,-209.25753553495852,0.0,-623.0,0.0,0.0,0.0,0,0,0
2024-07-05,neutral,196833.72755055007,196259.72755055007,-574.0,-0.002916166894479949,0.33296183998405254,7,-381.4398518677216,-192.56014813227847,0.0,-574.0,0.0,0.0,0.0,0,0,0
2024-07-08,neutral,196259.72755055007,196011.72755055007,-248.0,-0.0012636316329142122,0.33211788301397127,7,-165.03872563326627,-82.96127436673375,0.0,-248.0,0.0,0.0,0.0,0,0,0
2024-07-09,neutral,196011.72755055007,197150.72755055007,1139.0,0.005810876799227534,0.3359764421007088,7,759.2015006491741,379.7984993508258,0.0,1139.0,0.0,0.0,0.0,0,0,0
2024-07-10,neutral,197150.72755055007,196688.72755055007,-462.0,-0.0023433847074266654,0.33441672443122195,7,-309.3579421065434,-152.64205789345658,0.0,-462.0,0.0,0.0,0.0,0,0,0
2024-07-11,neutral,196688.72755055007,197462.72755055007,774.0,0.003935151798676809,0.3370256292188779,7,515.5619233658903,258.4380766341097,0.0,774.0,0.0,0.0,0.0,0,0,0
2024-07-12,neutral,197462.72755055007,197631.72755055007,169.0,0.0008558577210817486,0.337592555744546,7,113.09136827590342,55.90863172409659,0.0,169.0,0.0,0.0,0.0,0,0,0
2024-07-15,neutral,197631.72755055007,197904.72755055007,273.0,0.0013813571504108432,0.338506314776581,7,182.8707159063769,90.12928409362313,0.0,273.0,0.0,0.0,0.0,0,0,0
2024-07-16,neutral,197904.72755055007,197922.72755055007,18.0,9.095285505699871e-05,0.3385664740441971,7,12.045575287270557,5.954424712729444,0.0,18.0,0.0,0.0,0.0,0,0,0
2024-07-17,neutral,197922.72755055007,198632.72755055007,710.0,0.003587258566950902,0.3409307259437694,7,475.1191671588895,234.88083284111045,0.0,710.0,0.0,0.0,0.0,0,0,0
2024-07-18,risk_on,198632.72755055007,199209.72755055007,577.0,0.0029048586661186496,0.34283968378336055,7,387.47716590772654,189.52283409227346,0.0,577.0,0.0,0.0,0.0,0,0,0
2024-07-19,risk_on,199209.72755055007,199308.72755055007,99.0,0.0004969636835373837,0.34316610637460887,7,66.42941107667114,32.57058892332885,0.0,99.0,0.0,0.0,0.0,0,0,0
2024-07-22,risk_on,199308.72755055007,198880.72755055007,-428.0,-0.002147422269260375,0.3417525711872931,7,-288.0347810734463,-139.96521892655366,0.0,-428.0,0.0,0.0,0.0,0,0,0
2024-07-23,neutral,198880.72755055007,198036.72755055007,-844.0,-0.0042437495598233775,0.3389472287804099,7,-566.9752696501996,-277.0247303498004,0.0,-844.0,0.0,0.0,0.0,0,0,0
2024-07-24,neutral,198036.72755055007,198221.72755055007,185.0,0.0009341701526186734,0.33956418820351064,7,123.96366013460309,61.036339865396904,0.0,185.0,0.0,0.0,0.0,0,0,0
2024-07-25,neutral,198221.72755055007,198669.72755055007,448.0,0.0022600953262590854,0.34105347017582094,7,301.1901943710613,146.8098056289387,0.0,448.0,0.0,0.0,0.0,0,0,0
2024-07-26,neutral,198669.72755055007,199045.72755055007,376.0,0.0018925882903037129,0.3422982288464182,7,252.55403402169287,123.44596597830713,0.0,376.0,0.0,0.0,0.0,0,0,0
2024-07-29,neutral,199045.72755055007,199026.72755055007,-19.0,-9.545545254255568e-05,0.3422354416328328,7,-12.776198725665795,-6.223801274334205,0.0,-19.0,0.0,0.0,0.0,0,0,0
2024-07-30,neutral,199026.72755055007,198655.72755055007,-371.0,-0.0018640712459374134,0.3410070317895167,7,-248.80105693577195,-122.19894306422805,0.0,-371.0,0.0,0.0,0.0,0,0,0
2024-07-31,neutral,198655.72755055007,199343.7682208501,688.040670300019,0.0034634826731836346,0.3743984608403413,8,481.7501582103075,206.29051208971146,0.0,688.040670300019,1.8603296999999996,0.0,3.098999999999563,1,1,0
2024-08-01,neutral,199343.7682208501,199829.7682208501,486.0,0.0024379994636279153,0.37591996762453356,8,340.5105431309904,145.4894568690096,0.0,486.0,0.0,0.0,0.0,0,0,0
2024-08-02,neutral,199829.7682208501,199387.7682208501,-442.0,-0.002211882663605482,0.37453651578708475,8,-308.54414954872925,-133.4558504512708,0.0,-442.0,0.0,0.0,0.0,0,0,0
2024-08-05,neutral,199387.7682208501,199047.7682208501,-340.0,-0.0017052199492167545,0.3734681411625753,8,-235.6783879038984,-104.32161209610159,0.0,-340.0,0.0,0.0,0.0,0,0,0
2024-08-06,neutral,199047.7682208501,198671.7682208501,-376.0,-0.001888993799633139,0.37228238648272066,8,-260.1579189313431,-115.84208106865687,0.0,-376.0,0.0,0.0,0.0,0,0,0
2024-08-07,neutral,198671.7682208501,198896.7682208501,225.0,0.0011325212535979576,0.3729924858186966,8,156.11427878199683,68.88572121800316,0.0,225.0,0.0,0.0,0.0,0,0,0
2024-08-08,neutral,198896.7682208501,199281.7682208501,385.0,0.0019356775046867802,0.37420382539639585,8,267.3347234887089,117.66527651129111,0.0,385.0,0.0,0.0,0.0,0,0,0
2024-08-09,neutral,199281.7682208501,198645.76822085006,-636.0000000000291,-0.0031914610437177304,0.37220022687721965,8,-442.62627136985367,-193.3737286301755,0.0,-636.0000000000291,0.0,0.0,0.0,0,0,0
2024-08-12,neutral,198645.76822085006,198325.7682208501,-319.9999999999709,-0.001610907712084769,0.3711872675971348,8,-224.08606824601307,-95.91393175395781,0.0,-319.9999999999709,0.0,0.0,0.0,0,0,0
2024-08-13,neutral,198325.7682208501,198262.7682208501,-63.0,-0.00031765917543223604,0.37098745599106836,8,-44.251519312604515,-18.748480687395485,0.0,-63.0,0.0,0.0,0.0,0,0,0
2024-08-14,neutral,198262.7682208501,198102.7682208501,-160.0,-0.0008070098154877561,0.37047942670937134,8,-112.38564985761585,-47.614350142384154,0.0,-160.0,0.0,0.0,0.0,0,0,0
2024-08-15,risk_off,198102.7682208501,198915.7682208501,813.0,0.004103930537172739,0.3730523762078598,8,572.7023286526695,240.2976713473304,0.0,813.0,0.0,0.0,0.0,0,0,0
2024-08-16,risk_off,198915.7682208501,199572.7682208501,657.0,0.0033029055759448544,0.37511630803835694,8,463.26911825601434,193.7308817439857,0.0,657.0,0.0,0.0,0.0,0,0,0
2024-08-19,risk_off,199572.7682208501,200128.7682208501,556.0,0.0027859512345127287,0.3768523669559198,8,392.86911786154684,163.13088213845316,0.0,556.0,0.0,0.0,0.0,0,0,0
2024-08-20,risk_off,200128.7682208501,199677.7682208501,-451.0,-0.002253549072476694,0.3754449013927428,8,-319.0111514246078,-131.98884857539218,0.0,-451.0,0.0,0.0,0.0,0,0,0
2024-08-21,risk_off,199677.7682208501,199422.7682208501,-255.0,-0.0012770575426201765,0.3746462887189458,8,-180.5133644747233,-74.48663552527672,0.0,-255.0,0.0,0.0,0.0,0,0,0
2024-08-22,risk_off,199422.7682208501,199654.23487845008,231.46665759998723,0.0011606832041547545,0.3271305516748127,7,188.17718655159192,43.28947104839533,-1397.0448423999987,1628.511499999986,2.8917534,4.819589,4.82200000000006,1,0,1
2024-08-23,risk_off,199654.23487845008,200153.23487845008,499.0,0.0024993208899565405,0.3288080756724546,7,406.9141342004497,92.08586579955023,0.0,499.0,0.0,0.0,0.0,0,0,0
2024-08-26,risk_off,200153.23487845008,199413.23487845008,-740.0,-0.0036971673250716652,0.32631735822180435,7,-601.8868330464717,-138.1131669535284,0.0,-740.0,0.0,0.0,0.0,0,0,0
2024-08-27,risk_off,199413.23487845008,199230.23487845008,-183.0,-0.0009176923493144546,0.32569855694638233,7,-148.84737012436622,-34.15262987563377,0.0,-183.0,0.0,0.0,0.0,0,0,0
2024-08-28,risk_off,199230.23487845008,198944.23487845008,-286.0,-0.0014355250857104494,0.32472918875719525,7,-232.6984505363528,-53.3015494636472,0.0,-286.0,0.0,0.0,0.0,0,0,0
2024-08-29,risk_off,198944.23487845008,198040.23487845008,-904.0,-0.004543986914485465,0.32164676051357005,7,-738.5952055762257,-165.4047944237743,0.0,-904.0,0.0,0.0,0.0,0,0,0
