date,ts_code,name,bucket,side,action,signal_level,shares,price,amount,fee,tax,slippage,slippage_cost,cash_before,cash_after,position_before,position_after,weight_before,weight_after,target_weight,entry_reason,exit_reason,holding_days,realized_pnl,unrealized_pnl_after_trade,market_regime,execution_mode,fill_price_field,execution_adjustment,execution_reason_code
2023-08-02,600803.sh,新奥股份,defensive_dividend,BUY,BUY_1,BUY_1,1200.0,16.598295,19917.954,5.9753862,0.0,0.008295000000000385,9.954000000000462,250733.49136785,230809.56198164998,0.0,1200.0,0.0,0.03833984939853061,0.038575,高股息补充触发 BUY_1。,,0,0.0,98.04599999999937,risk_on,next_bar,open,,
2023-09-04,600346.sh,恒力石化,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,1200.0,13.543225000000001,16251.87,4.875561,8.125935,0.006774999999999309,8.129999999999171,230809.56198164998,247048.43048565,1200.0,0.0,0.032241579718535966,0.0,0.0,高股息补充触发 BUY_1。,valuation_reversion_exit,89,-1469.9814959999978,0.0,risk_off,next_bar,open,,
2023-10-20,600803.sh,新奥股份,defensive_dividend,SELL,SELL_ALL,SELL_ALL,1200.0,14.432780000000001,17319.336000000003,5.195800800000001,8.659668000000002,0.00721999999999845,8.66399999999814,247048.43048565,264353.91101685,1200.0,0.0,0.035178205021190116,0.0,0.0,高股息补充触发 BUY_1。,trend_stop,51,-2612.4734687999985,0.0,risk_off,next_bar,open,,
2023-10-24,601866.sh,中远海发,defensive_dividend,SELL,SELL_ALL,SELL_ALL,8300.0,2.0789600000000004,17255.368000000002,5.1766104,8.627684000000002,0.0010399999999997078,8.631999999997575,264353.91101685,281595.47472244996,8300.0,0.0,0.03528871734274052,0.0,0.0,高股息补充触发 BUY_1。,trend_stop,116,-2605.3547943999974,0.0,risk_off,next_bar,open,,
2023-11-29,600036.sh,招商银行,defensive_dividend,SELL,SELL_ALL,SELL_ALL,700.0,24.20789,16945.523,5.0836569,8.4727615,0.012109999999999843,8.47699999999989,281595.47472244996,298527.44130405,700.0,0.0,0.03473877815965241,0.0,0.0,高股息补充触发 BUY_1。,trend_stop,159,-2439.7144183999994,0.0,risk_off,next_bar,open,,
2023-11-30,000333.sz,美的集团,defensive_dividend,BUY,BUY_2,BUY_2,100.0,44.88243,4488.243,1.3464729,0.0,0.02242999999999995,2.242999999999995,298527.44130405,294037.85183114995,400.0,500.0,0.036905231279736654,0.04613153909967081,0.046314,满足 defensive BUY_2。,,124,0.0,242.9470000000009,risk_off,next_bar,open,,
2023-11-30,601018.sh,宁波港,cyclical_rotation,BUY,BUY_1,BUY_1,500.0,3.36168,1680.84,0.5042519999999999,0.0,0.0016799999999999038,0.8399999999999519,294037.85183114995,292356.50757914997,0.0,500.0,0.0,0.0034552378817408365,0.004144,满足 cyclical BUY_1。,,0,0.0,9.160000000000057,risk_off,next_bar,open,CLIPPED,TOTAL_EXPOSURE_CLIPPED_AT_FILL
2023-12-08,601166.sh,兴业银行,defensive_dividend,SELL,SELL_ALL,SELL_ALL,3000.0,11.43428,34302.84,10.290851999999997,17.151419999999998,0.005720000000000169,17.160000000000508,292356.50757914997,326631.90530715,3000.0,0.0,0.07107312458900887,0.0,0.0,高股息补充触发 BUY_1。,trend_stop,158,-4924.192272,0.0,risk_off,next_bar,open,,
2023-12-19,601318.sh,中国平安,defensive_dividend,SELL,SELL_ALL,SELL_ALL,500.0,33.60319,16801.594999999998,5.040478499999999,8.4007975,0.016809999999999548,8.404999999999774,326631.90530715,343420.05903114995,500.0,0.0,0.03476497243274615,0.0,0.0,高股息补充触发 BUY_1。,trend_stop,173,-2376.423776000002,0.0,risk_off,next_bar,open,,
2023-12-21,000651.sz,格力电器,defensive_dividend,SELL,SELL_ALL,SELL_ALL,700.0,24.76761,17337.327,5.2011981,8.668663500000001,0.012389999999999901,8.67299999999993,343420.05903114995,360743.51616954996,700.0,0.0,0.036096941424312856,0.0,0.0,高股息补充触发 BUY_1。,trend_stop,155,-2272.3358616000005,0.0,risk_off,next_bar,open,,
2023-12-29,601018.sh,宁波港,cyclical_rotation,BUY,BUY_2,BUY_2,8100.0,3.3416699999999997,27067.527,8.1202581,0.0,0.0016699999999998383,13.52699999999869,360743.51616954996,333667.86891145,500.0,8600.0,0.0034613746060637635,0.05953564322429673,0.059506,满足 cyclical BUY_2。,,21,0.0,-110.36699999999912,risk_off,next_bar,open,,
2024-01-03,000932.sz,华菱钢铁,cyclical_rotation,BUY,BUY_1,BUY_1,2900.0,4.952475,14362.1775,4.30865325,0.0,0.002474999999999561,7.177499999998727,333667.86891145,319301.3827582,0.0,2900.0,0.0,0.029771300353587448,0.029817,满足 cyclical BUY_1。,,0,0.0,543.8224999999999,risk_off,next_bar,open,,
2024-01-11,600018.sh,上港集团,cyclical_rotation,BUY,BUY_2,BUY_2,1900.0,4.78239,9086.541000000001,2.7259623,0.0,0.0023900000000001143,4.541000000000217,319301.3827582,310212.1157959,4100.0,6000.0,0.040565757622970204,0.059364523350688106,0.059335,满足 cyclical BUY_2。,,159,0.0,-263.5244999999991,risk_off,next_bar,open,,
2024-03-04,000333.sz,美的集团,defensive_dividend,SELL,REDUCE,SELL_HALF,200.0,58.020975,11604.195,3.4812584999999996,5.8020975,0.029024999999997192,5.804999999999438,310212.1157959,321807.0274399,500.0,300.0,0.05879446131676828,0.03527667679006097,0.034972,满足 defensive BUY_1。,soft_trim,184,2748.0904440000013,4024.7682000000004,neutral,next_bar,open,,
2024-05-07,601021.sh,春秋航空,cyclical_rotation,BUY,BUY_1,BUY_1,200.0,55.537755,11107.551,3.3322652999999995,0.0,0.027754999999999086,5.550999999999817,321807.0274399,310696.14417459996,0.0,200.0,0.0,0.022177842008310505,0.022171,满足 cyclical BUY_1。,,0,0.0,-345.55099999999896,risk_on,next_bar,open,,
2024-05-10,600018.sh,上港集团,defensive_dividend,SELL,REDUCE,SELL_HALF,2300.0,5.3773100000000005,12367.813000000002,3.7103439000000003,6.183906500000001,0.002689999999999415,6.186999999998655,310696.14417459996,323054.06292419997,6000.0,3700.0,0.06445383731722205,0.03974653301228693,0.039619,满足 defensive BUY_1。,soft_trim,234,1216.9010246000023,1909.4932250000024,risk_on,next_bar,open,,
2024-06-14,601021.sh,春秋航空,cyclical_rotation,BUY,BUY_2,BUY_2,300.0,54.74735999999999,16424.208,4.927262399999999,0.0,0.0273599999999945,8.20799999999835,323054.06292419997,306624.92766179994,200.0,500.0,0.022085163317712483,0.05521290829428121,0.055437,满足 cyclical BUY_2。,,27,0.0,-16.75899999999686,neutral,next_bar,open,,
2024-06-24,000932.sz,华菱钢铁,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,2900.0,4.31784,12521.736,3.7565208,6.260868,0.0021599999999999397,6.263999999999825,306624.92766179994,319136.64627299993,2900.0,0.0,0.025289491835367092,0.0,0.0,满足 cyclical BUY_1。,trend_stop,111,-1850.4588887999992,0.0,neutral,next_bar,open,,
2024-07-03,002032.sz,苏 泊 尔,defensive_dividend,BUY,BUY_2,BUY_2,400.0,46.233104999999995,18493.242,5.547972599999999,0.0,0.023104999999993936,9.241999999997574,319136.64627299993,300637.85630039993,400.0,800.0,0.03727238959670786,0.07454477919341572,0.07433,满足 defensive BUY_2。,,282,0.0,942.348000000004,neutral,next_bar,open,,
2024-07-18,600309.sh,万华化学,cyclical_rotation,BUY,BUY_1,BUY_1,100.0,81.12053999999999,8112.053999999999,2.4336161999999995,0.0,0.040539999999992915,4.0539999999992915,300637.85630039993,292523.36868419993,0.0,100.0,0.0,0.01626712294823325,0.016255,满足 cyclical BUY_1。,,0,0.0,-59.05399999999901,neutral,next_bar,open,,
2024-07-25,600989.sh,宝丰能源,cyclical_rotation,BUY,BUY_1,BUY_1,900.0,15.127559999999999,13614.803999999998,4.084441199999999,0.0,0.007559999999999789,6.80399999999981,292523.36868419993,278904.4802429999,0.0,900.0,0.0,0.027460420042430683,0.027592,满足 cyclical BUY_1。,,0,0.0,-690.803999999998,neutral,next_bar,open,,
2024-07-31,300628.sz,亿联网络,defensive_dividend,BUY,BUY_1,BUY_1,600.0,31.005494999999996,18603.297,5.580989099999999,0.0,0.015494999999997816,9.29699999999869,278904.4802429999,260295.6022538999,0.0,600.0,0.0,0.03747955910996518,0.037231,高股息补充触发 BUY_1。,,0,0.0,158.703000000002,neutral,next_bar,open,,
2024-08-01,600233.sh,圆通速递,cyclical_rotation,BUY,BUY_1,BUY_1,1000.0,13.856924999999999,13856.925,4.1570775,0.0,0.00692499999999896,6.92499999999896,260295.6022538999,246434.5201763999,0.0,1000.0,0.0,0.027710158881925077,0.027956,满足 cyclical BUY_1。,,0,0.0,-186.92499999999868,neutral,next_bar,open,,
2024-08-22,601021.sh,春秋航空,cyclical_rotation,SELL,SELL_ALL,SELL_ALL,500.0,48.19589,24097.945,7.229383499999999,12.0489725,0.024110000000000298,12.055000000000149,246434.5201763999,270513.1868203999,500.0,0.0,0.04826582523310158,0.0,0.0,满足 cyclical BUY_1。,trend_stop,76,-3453.0923559999987,0.0,risk_off,next_bar,open,,
